nr_objects	level	nr_leafs
6	8	62
6	10	180
2	10	356
1	10	413
7	9	184
10	9	98
2	9	265
5	10	206
4	10	255
7	10	152
3	10	264
5	9	222
8	9	132
3	9	270
1	9	283
6	9	198
4	8	86
10	8	41
8	10	126
9	10	109
9	9	121
12	10	62
15	10	33
14	10	37
4	9	261
10	10	89
21	10	10
11	10	66
18	10	13
22	10	8
13	10	42
24	10	13
20	10	12
23	10	10
36	10	1
16	10	28
19	10	16
17	10	22
1	8	71
9	7	12
5	8	69
3	8	95
7	8	76
9	8	45
8	8	56
2	8	100
10	7	12
5	7	19
4	7	23
6	7	18
62	10	3
1	7	12
7	7	13
8	7	9
31	10	6
46	10	3
2	7	21
3	7	16
58	10	1
6	4	1
25	10	6
30	10	5
56	10	1
39	10	2
69	10	1
26	10	6
32	10	2
52	10	1
27	10	6
55	10	1
51	10	1
6	6	2
38	10	1
37	10	2
29	10	2
28	10	5
43	10	2
50	10	1
47	10	1
35	10	2
41	10	2
70	10	1
2	6	2
34	10	2
1	6	1
1	5	1
76	10	1
54	10	1
9	6	1
5	5	1
3	4	1
7	6	2
250	0	1
